VPN_Kennung,Pre_SSSQ_1,Pre_SSSQ_2,Pre_SSSQ_3,Pre_SSSQ_4,Pre_SSSQ_5,Pre_SSSQ_6,Pre_SSSQ_7,Pre_SSSQ_8,Pre_SSSQ_9,Pre_SSSQ_10,Pre_SSSQ_11,Pre_SSSQ_12,Pre_SSSQ_13,Pre_SSSQ_14,Pre_SSSQ_15,Pre_SSSQ_16,Pre_SSSQ_17,Pre_SSSQ_18,Pre_SSSQ_19,Pre_SSSQ_20,Pre_SSSQ_21,Pre_SSSQ_22,Pre_SSSQ_23,Pre_SSSQ_24
Xxxx,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
SJ08F,3,3,1,1,2,3,1,1,1,1,3,4,3,4,3,4,1,4,3,3,1,1,1,3
PL19E,2,5,1,1,5,1,1,1,1,1,5,5,5,3,3,2,3,3,3,3,3,5,1,1
CL17M,3,5,1,1,4,4,3,1,4,3,4,4,4,2,2,1,3,4,4,4,2,3,4,3
GM25S,2,4,2,1,3,1,2,2,2,3,2,2,2,3,3,1,4,2,2,2,4,4,1,1
RK06N,3,3,1,1,4,4,3,1,4,1,3,2,2,1,1,1,4,4,2,2,3,3,4,1
EK13M,1,4,1,1,4,1,1,1,1,1,4,4,4,1,4,1,4,2,2,1,4,4,1,1
CH02N,2,3,1,2,4,3,2,1,3,2,4,4,3,3,3,1,3,4,4,4,3,3,3,2
VP8,1,5,1,1,4,3,1,1,1,1,4,5,4,2,3,2,4,2,3,2,4,4,4,4
VP10,1,4,1,1,4,1,1,1,1,1,4,4,4,4,1,1,4,1,1,1,5,5,1,1
VP12,2,4,1,1,4,1,1,1,1,1,2,2,3,1,1,1,3,2,2,2,4,3,1,1
VP14,3,4,1,1,5,1,1,1,1,1,2,4,4,4,4,1,1,2,1,1,2,2,4,3
VP16,4,5,3,1,5,2,2,1,4,1,4,5,5,2,1,1,3,4,1,2,3,2,4,2
VP18,2,4,1,1,4,1,1,1,1,1,4,4,4,2,2,1,4,1,1,1,4,4,1,1
VP20,3,2,1,1,2,1,2,1,1,1,4,4,4,1,1,1,2,3,3,2,1,2,2,2
VP22,2,4,2,1,5,2,2,1,2,1,5,5,5,5,5,1,4,3,3,3,4,5,5,5
VP24,1,4,1,1,4,1,1,2,2,1,3,4,4,3,1,1,3,2,1,1,4,4,2,1
VP26,1,4,3,1,5,3,2,1,2,1,4,4,4,1,1,1,4,2,2,2,4,1,1,1
VP28,2,5,1,1,5,3,1,1,1,1,5,5,5,1,1,1,4,1,1,1,5,5,2,2
VP30,3,4,3,1,4,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1
VP9,4,3,1,1,3,3,4,2,3,3,3,4,4,3,1,1,3,3,1,1,2,5,1,1
VP11,5,2,4,2,3,3,4,1,2,4,4,3,3,2,4,1,1,4,5,5,1,2,4,5
VP13,3,2,3,2,3,4,4,3,4,1,4,4,4,2,3,2,1,2,3,4,2,2,2,1
VP15,5,3,2,1,3,4,5,3,4,2,4,5,5,5,5,2,2,4,2,2,1,1,4,1
VP17,2,4,1,1,4,2,1,1,1,1,4,5,4,1,1,1,3,2,1,1,4,4,1,1
VP19,2,3,1,1,2,4,1,1,2,1,3,4,4,2,4,1,4,4,1,1,2,3,1,1
VP21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
VP23,4,3,2,1,2,1,1,1,1,1,4,4,4,4,3,1,2,3,2,2,1,4,2,1
VP25,2,4,2,1,3,1,2,1,2,2,3,4,4,5,3,1,4,2,2,1,4,5,1,1
VP27,2,5,1,1,5,3,2,1,2,1,5,4,5,1,2,1,5,2,1,1,5,2,5,5
VP29,3,4,1,1,4,2,2,1,1,1,3,3,4,1,3,1,3,3,3,3,3,2,1,1
