VPN_Kennung,Pre_SSSQ_1,Pre_SSSQ_2,Pre_SSSQ_3,Pre_SSSQ_4,Pre_SSSQ_5,Pre_SSSQ_6,Pre_SSSQ_7,Pre_SSSQ_8,Pre_SSSQ_9,Pre_SSSQ_10,Pre_SSSQ_11,Pre_SSSQ_12,Pre_SSSQ_13,Pre_SSSQ_14,Pre_SSSQ_15,Pre_SSSQ_16,Pre_SSSQ_17,Pre_SSSQ_18,Pre_SSSQ_19,Pre_SSSQ_20,Pre_SSSQ_21,Pre_SSSQ_22,Pre_SSSQ_23,Pre_SSSQ_24
Xxxx,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
XX12X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SJ08F,1,3,1,1,2,1,2,1,2,1,1,2,4,2,2,3,2,3,3,2,2,3,1,1
PL19E,1,4,1,1,4,1,1,1,1,1,5,5,5,4,4,3,3,3,3,3,4,4,1,1
CL17M,1,3,1,1,4,2,1,1,2,1,3,4,4,1,3,3,4,2,2,3,2,3,2,1
GM25S,2,2,3,2,2,1,2,2,2,2,3,2,2,1,3,2,4,3,1,2,3,4,1,1
RK06N,3,4,1,1,3,2,2,1,2,1,4,4,4,3,3,2,4,1,4,5,3,3,1,1
EK13M,1,4,1,1,4,1,1,1,1,1,4,4,4,1,3,1,4,1,2,1,4,4,1,2
CH02N,1,1,1,1,4,1,1,1,1,1,4,4,3,2,1,1,3,3,3,3,3,3,3,2
VP8,2,4,1,1,4,3,1,1,1,1,4,4,4,3,3,2,3,2,4,4,4,4,3,4
VP10,1,3,1,1,3,2,1,1,1,1,3,4,4,4,3,1,4,1,1,1,4,4,1,1
VP12,1,4,1,1,3,1,1,1,1,1,4,4,4,1,1,1,4,1,1,3,4,3,1,1
VP14,1,4,1,1,4,2,1,1,1,1,4,4,4,3,3,1,3,2,1,1,3,4,4,1
VP16,1,4,1,1,4,3,1,1,1,1,3,4,4,3,4,2,3,2,4,4,3,2,1,2
VP18,1,3,1,1,3,3,1,1,1,1,4,5,5,3,1,1,4,1,2,2,4,4,1,2
VP20,1,3,1,1,3,3,3,1,1,1,4,4,4,1,2,3,3,2,4,3,4,4,4,1
VP22,1,4,1,1,4,2,2,1,1,1,4,4,4,4,5,5,4,2,3,3,4,4,5,5
VP24,1,2,1,1,2,2,1,1,1,1,4,4,4,2,3,2,4,2,1,2,4,4,1,1
VP26,2,3,3,3,3,1,2,1,3,2,4,4,4,4,5,3,3,2,4,4,4,4,3,3
VP28,1,2,1,1,3,2,1,1,1,1,4,5,5,1,2,1,4,1,2,2,4,4,3,3
VP30,1,4,1,1,4,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,3,4,3,3
VP9,1,3,1,1,2,1,1,1,1,1,2,4,4,3,1,1,3,1,1,1,3,2,1,1
VP11,2,3,1,1,4,2,2,1,1,1,4,4,4,2,2,1,3,1,2,1,3,4,4,4
VP13,2,2,2,1,2,1,1,1,1,1,3,3,3,2,2,2,2,3,3,3,2,2,1,2
VP15,1,4,1,1,4,1,1,1,1,1,4,5,5,3,2,1,4,2,2,2,3,4,2,2
VP17,1,4,1,1,4,4,1,1,1,1,4,4,4,1,1,1,4,2,2,1,4,4,1,1
VP19,1,4,1,1,5,3,1,1,1,1,4,4,4,3,2,1,5,2,1,1,3,5,1,1
VP21,1,3,1,1,4,3,1,1,1,1,5,5,5,5,5,4,3,2,3,3,2,4,3,5
VP23,1,4,1,1,3,2,1,1,1,1,4,4,4,3,2,1,3,1,1,1,4,3,1,1
VP25,2,3,2,2,3,1,1,1,2,1,3,4,4,4,2,1,3,2,1,2,4,4,1,1
VP27,1,4,1,1,4,1,1,1,1,1,3,4,3,1,2,1,4,1,2,2,4,4,4,2
VP29,1,4,1,1,3,1,1,1,1,1,4,3,3,1,1,1,2,1,2,2,3,2,3,1
